ID,Label,MergedLabel,Location,Country,Region,Year
AY390342,Alphacoronavirus-Cluster_154,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
AY436637,Alphacoronavirus-Cluster_154,Alphacoronavirus,China,China,Asia,Unknown
AY704916,Alphacoronavirus-Cluster_154,Alphacoronavirus,China,China,Asia,Unknown
AY796289,Alphacoronavirus-Cluster_154,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
AY864662,Alphacoronavirus-Cluster_154,Alphacoronavirus,China,China,Asia,Unknown
AY884048,Alphacoronavirus-Cluster_154,Alphacoronavirus,China,China,Asia,Unknown
AY884049,Alphacoronavirus-Cluster_154,Alphacoronavirus,China,China,Asia,Unknown
JQ404409,Alphacoronavirus-Cluster_154,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
AF116244,Alphacoronavirus-Cluster_154,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
AF116246,Alphacoronavirus-Cluster_154,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
AF124986,Alphacoronavirus-Cluster_154,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
AY159784,Alphacoronavirus-Cluster_154,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
KR105601,Alphacoronavirus-Cluster_154,Alphacoronavirus,Brazil,Brazil,America,2015
AY862144,Alphacoronavirus-Cluster_154,Alphacoronavirus,China,China,Asia,Unknown
AY864663,Alphacoronavirus-Cluster_154,Alphacoronavirus,China,China,Asia,Unknown
AY878317,Alphacoronavirus-Cluster_154,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
DD266152,Alphacoronavirus-Cluster_154,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
EF408025,Alphacoronavirus-Cluster_154,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
GN355801,Alphacoronavirus-Cluster_154,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
GU300124,Alphacoronavirus-Cluster_154,Alphacoronavirus,Brazil,Brazil,America,Unknown
KF308995,Alphacoronavirus-Cluster_154,Alphacoronavirus,Brazil,Brazil,America,Unknown
KF668572,Alphacoronavirus-Cluster_154,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
KF668588,Alphacoronavirus-Cluster_154,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
KP281485,Alphacoronavirus-Cluster_154,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
KP281588,Alphacoronavirus-Cluster_154,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
KP281491,Alphacoronavirus-Cluster_154,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
KP281493,Alphacoronavirus-Cluster_154,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
KP281509,Alphacoronavirus-Cluster_154,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
KP281513,Alphacoronavirus-Cluster_154,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
KP281525,Alphacoronavirus-Cluster_154,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
KP281537,Alphacoronavirus-Cluster_154,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
KP281544,Alphacoronavirus-Cluster_154,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
KP281546,Alphacoronavirus-Cluster_154,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
KP281583,Alphacoronavirus-Cluster_154,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
KP281589,Alphacoronavirus-Cluster_154,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
KP281591,Alphacoronavirus-Cluster_154,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
KP322088,Alphacoronavirus-Cluster_154,Alphacoronavirus,Brazil,Brazil,America,Unknown
KY566209,Alphacoronavirus-Cluster_158,Alphacoronavirus,China,China,Asia,2016
KY566210,Alphacoronavirus-Cluster_158,Alphacoronavirus,China,China,Asia,2016
KY566211,Alphacoronavirus-Cluster_158,Alphacoronavirus,China,China,Asia,2016
MG016701,Alphacoronavirus-Cluster_158,Alphacoronavirus,China,China,Asia,2016
KC175340,Alphacoronavirus-Cluster_161,Alphacoronavirus,USA,USA,America,Unknown
KC175341,Alphacoronavirus-Cluster_161,Alphacoronavirus,USA,USA,America,Unknown
A22732,Alphacoronavirus-Cluster_161,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
X77047,Alphacoronavirus-Cluster_161,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
AY899209,Alphacoronavirus-Cluster_163,Alphacoronavirus,USA,USA,America,Unknown
DQ401031,Alphacoronavirus-Cluster_163,Alphacoronavirus,China,China,Asia,Unknown
DQ403250,Alphacoronavirus-Cluster_163,Alphacoronavirus,China,China,Asia,Unknown
EF056485,Alphacoronavirus-Cluster_163,Alphacoronavirus,China,China,Asia,Unknown
JQ404410,Alphacoronavirus-Cluster_163,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
KY063616,Alphacoronavirus-Cluster_163,Alphacoronavirus,China,China,Asia,Unknown
AF116245,Alphacoronavirus-Cluster_163,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
AY874541,Alphacoronavirus-Cluster_163,Alphacoronavirus,USA,USA,America,Unknown
AY878318,Alphacoronavirus-Cluster_163,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
EF056486,Alphacoronavirus-Cluster_163,Alphacoronavirus,China,China,Asia,Unknown
GN355797,Alphacoronavirus-Cluster_163,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
GN355799,Alphacoronavirus-Cluster_163,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
MH588452,Alphacoronavirus-Cluster_163,Alphacoronavirus,Thailand,Thailand,Asia,Unknown
MH588454,Alphacoronavirus-Cluster_163,Alphacoronavirus,Thailand,Thailand,Asia,Unknown
MH588456,Alphacoronavirus-Cluster_163,Alphacoronavirus,Thailand,Thailand,Asia,Unknown
MH588472,Alphacoronavirus-Cluster_163,Alphacoronavirus,Thailand,Thailand,Asia,Unknown
AY452031,Alphacoronavirus-Cluster_164,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
JQ408980,Alphacoronavirus-Cluster_164,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
JX467668,Alphacoronavirus-Cluster_164,Alphacoronavirus,Brazil,Brazil,America,Unknown
M23694,Alphacoronavirus-Cluster_164,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
AF124987,Alphacoronavirus-Cluster_164,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
AF326575,Alphacoronavirus-Cluster_164,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
AX705859,Alphacoronavirus-Cluster_164,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
AX705865,Alphacoronavirus-Cluster_164,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
AX705866,Alphacoronavirus-Cluster_164,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
AX705867,Alphacoronavirus-Cluster_164,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
AX705868,Alphacoronavirus-Cluster_164,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
AY532274,Alphacoronavirus-Cluster_164,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
AY878320,Alphacoronavirus-Cluster_164,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
CS050809,Alphacoronavirus-Cluster_164,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
CS050852,Alphacoronavirus-Cluster_164,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
CS050873,Alphacoronavirus-Cluster_164,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
DI011634,Alphacoronavirus-Cluster_164,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
DI018570,Alphacoronavirus-Cluster_164,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
DI043056,Alphacoronavirus-Cluster_164,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
DI058679,Alphacoronavirus-Cluster_164,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
DI059181,Alphacoronavirus-Cluster_164,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
DI080076,Alphacoronavirus-Cluster_164,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
DI092278,Alphacoronavirus-Cluster_164,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
DM372787,Alphacoronavirus-Cluster_164,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
DM372803,Alphacoronavirus-Cluster_164,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
JX239089,Alphacoronavirus-Cluster_164,Alphacoronavirus,Brazil,Brazil,America,Unknown
JX239090,Alphacoronavirus-Cluster_164,Alphacoronavirus,Brazil,Brazil,America,Unknown
JX239092,Alphacoronavirus-Cluster_164,Alphacoronavirus,Brazil,Brazil,America,Unknown
JX239093,Alphacoronavirus-Cluster_164,Alphacoronavirus,Brazil,Brazil,America,Unknown
MH576466,Alphacoronavirus-Cluster_164,Alphacoronavirus,Thailand,Thailand,Asia,2017
MN528742,Alphacoronavirus-Cluster_164,Alphacoronavirus,Taiwan,China,Asia,2019
X56496,Alphacoronavirus-Cluster_164,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
X90573,Alphacoronavirus-Cluster_164,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
AY452033,Alphacoronavirus-Cluster_165,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
AY994055,Alphacoronavirus-Cluster_165,Alphacoronavirus,USA,USA,America,Unknown
KC175339,Alphacoronavirus-Cluster_165,Alphacoronavirus,Germany,Germany,Europe,Unknown
KC461235,Alphacoronavirus-Cluster_165,Alphacoronavirus,USA,USA,America,Unknown
KC461236,Alphacoronavirus-Cluster_165,Alphacoronavirus,USA,USA,America,Unknown
KC461237,Alphacoronavirus-Cluster_165,Alphacoronavirus,USA,USA,America,Unknown
A22378,Alphacoronavirus-Cluster_165,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
A24871,Alphacoronavirus-Cluster_165,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
A43611,Alphacoronavirus-Cluster_165,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
AF033000,Alphacoronavirus-Cluster_165,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
AX027270,Alphacoronavirus-Cluster_165,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
KY566198,Alphacoronavirus-Cluster_165,Alphacoronavirus,China,China,Asia,2016
ON595862,Alphacoronavirus-Cluster_167,Alphacoronavirus,Australia,Australia,Oceania,Unknown
ON595876,Alphacoronavirus-Cluster_167,Alphacoronavirus,Australia,Australia,Oceania,Unknown
ON595879,Alphacoronavirus-Cluster_167,Alphacoronavirus,Australia,Australia,Oceania,Unknown
ON595882,Alphacoronavirus-Cluster_167,Alphacoronavirus,Australia,Australia,Oceania,Unknown
DQ431016,Alphacoronavirus-Cluster_168,Alphacoronavirus,Sweden,Sweden,Europe,Unknown
MT250800,Alphacoronavirus-Cluster_168,Alphacoronavirus,China,China,Asia,Unknown
MT250802,Alphacoronavirus-Cluster_168,Alphacoronavirus,China,China,Asia,Unknown
MW815640,Alphacoronavirus-Cluster_168,Alphacoronavirus,China,China,Asia,Unknown
MW815646,Alphacoronavirus-Cluster_168,Alphacoronavirus,China,China,Asia,Unknown
MW815649,Alphacoronavirus-Cluster_168,Alphacoronavirus,China,China,Asia,Unknown
OX335534,Alphacoronavirus-Cluster_168,Alphacoronavirus,UnitedKingdom,UnitedKingdom,Europe,Unknown
OX335535,Alphacoronavirus-Cluster_168,Alphacoronavirus,UnitedKingdom,UnitedKingdom,Europe,Unknown
DQ112226,Alphacoronavirus-Cluster_170,Alphacoronavirus,Italy,Italy,Europe,Unknown
KP981644,Alphacoronavirus-Cluster_170,Alphacoronavirus,Italy,Italy,Europe,Unknown
DQ431019,Alphacoronavirus-Cluster_170,Alphacoronavirus,Sweden,Sweden,Europe,Unknown
HQ339912,Alphacoronavirus-Cluster_170,Alphacoronavirus,Tanzania,Tanzania,Africa,Unknown
KF308994,Alphacoronavirus-Cluster_170,Alphacoronavirus,Brazil,Brazil,America,Unknown
KX156804,Alphacoronavirus-Cluster_170,Alphacoronavirus,Tanzania,Tanzania,Africa,2008
KX156805,Alphacoronavirus-Cluster_170,Alphacoronavirus,Tanzania,Tanzania,Africa,2008
KX156806,Alphacoronavirus-Cluster_170,Alphacoronavirus,Tanzania,Tanzania,Africa,2010
KX156807,Alphacoronavirus-Cluster_170,Alphacoronavirus,Tanzania,Tanzania,Africa,2011
KX156819,Alphacoronavirus-Cluster_170,Alphacoronavirus,Tanzania,Tanzania,Africa,2012
LN624645,Alphacoronavirus-Cluster_170,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
LN624655,Alphacoronavirus-Cluster_170,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
MK636865,Alphacoronavirus-Cluster_170,Alphacoronavirus,Turkey,Turkey,Asia,Unknown
MN913430,Alphacoronavirus-Cluster_170,Alphacoronavirus,Turkey,Turkey,Asia,Unknown
MN913436,Alphacoronavirus-Cluster_170,Alphacoronavirus,Turkey,Turkey,Asia,Unknown
MN913439,Alphacoronavirus-Cluster_170,Alphacoronavirus,Turkey,Turkey,Asia,Unknown
MN913440,Alphacoronavirus-Cluster_170,Alphacoronavirus,Turkey,Turkey,Asia,Unknown
MW465347,Alphacoronavirus-Cluster_170,Alphacoronavirus,Turkey,Turkey,Asia,2020
OX336681,Alphacoronavirus-Cluster_170,Alphacoronavirus,UnitedKingdom,UnitedKingdom,Europe,Unknown
FJ938053,Alphacoronavirus-Cluster_171,Alphacoronavirus,Netherlands,Netherlands,Europe,Unknown
GU053618,Alphacoronavirus-Cluster_171,Alphacoronavirus,Netherlands,Netherlands,Europe,Unknown
HQ738697,Alphacoronavirus-Cluster_171,Alphacoronavirus,Netherlands,Netherlands,Europe,Unknown
HQ738698,Alphacoronavirus-Cluster_171,Alphacoronavirus,Netherlands,Netherlands,Europe,Unknown
GU053612,Alphacoronavirus-Cluster_172,Alphacoronavirus,Netherlands,Netherlands,Europe,Unknown
GU053626,Alphacoronavirus-Cluster_172,Alphacoronavirus,Netherlands,Netherlands,Europe,Unknown
HQ012371,Alphacoronavirus-Cluster_172,Alphacoronavirus,Netherlands,Netherlands,Europe,Unknown
HW265719,Alphacoronavirus-Cluster_172,Alphacoronavirus,Unknown,Unknown,Unknown,2013
JQ304332,Alphacoronavirus-Cluster_172,Alphacoronavirus,Netherlands,Netherlands,Europe,Unknown
MW718818,Alphacoronavirus-Cluster_173,Alphacoronavirus,China,China,Asia,Unknown
OX335541,Alphacoronavirus-Cluster_173,Alphacoronavirus,UnitedKingdom,UnitedKingdom,Europe,Unknown
OP858683,Alphacoronavirus-Cluster_173,Alphacoronavirus,India,India,Asia,2022
OP858685,Alphacoronavirus-Cluster_173,Alphacoronavirus,India,India,Asia,2022
OP858686,Alphacoronavirus-Cluster_173,Alphacoronavirus,India,India,Asia,2022
OP858687,Alphacoronavirus-Cluster_173,Alphacoronavirus,India,India,Asia,2022
FJ938062,Alphacoronavirus-Cluster_174,Alphacoronavirus,Netherlands,Netherlands,Europe,Unknown
GU053649,Alphacoronavirus-Cluster_174,Alphacoronavirus,Netherlands,Netherlands,Europe,Unknown
HQ738695,Alphacoronavirus-Cluster_174,Alphacoronavirus,Netherlands,Netherlands,Europe,Unknown
HW265710,Alphacoronavirus-Cluster_174,Alphacoronavirus,Unknown,Unknown,Unknown,2013
GU053611,Alphacoronavirus-Cluster_175,Alphacoronavirus,Netherlands,Netherlands,Europe,Unknown
GU053613,Alphacoronavirus-Cluster_175,Alphacoronavirus,Netherlands,Netherlands,Europe,Unknown
GU553361,Alphacoronavirus-Cluster_175,Alphacoronavirus,Netherlands,Netherlands,Europe,Unknown
GU553362,Alphacoronavirus-Cluster_175,Alphacoronavirus,Netherlands,Netherlands,Europe,Unknown
HQ738699,Alphacoronavirus-Cluster_175,Alphacoronavirus,Netherlands,Netherlands,Europe,Unknown
HW265707,Alphacoronavirus-Cluster_175,Alphacoronavirus,Unknown,Unknown,Unknown,2013
JQ304325,Alphacoronavirus-Cluster_175,Alphacoronavirus,Netherlands,Netherlands,Europe,Unknown
JQ304326,Alphacoronavirus-Cluster_175,Alphacoronavirus,Netherlands,Netherlands,Europe,Unknown
JQ304336,Alphacoronavirus-Cluster_175,Alphacoronavirus,Netherlands,Netherlands,Europe,Unknown
JQ304455,Alphacoronavirus-Cluster_175,Alphacoronavirus,Netherlands,Netherlands,Europe,Unknown
FJ938060,Alphacoronavirus-Cluster_176,Alphacoronavirus,USA,USA,America,Unknown
GU053615,Alphacoronavirus-Cluster_176,Alphacoronavirus,Netherlands,Netherlands,Europe,Unknown
KU215419,Alphacoronavirus-Cluster_176,Alphacoronavirus,Belgium,Belgium,Europe,Unknown
KU215420,Alphacoronavirus-Cluster_176,Alphacoronavirus,Belgium,Belgium,Europe,Unknown
KU215422,Alphacoronavirus-Cluster_176,Alphacoronavirus,Belgium,Belgium,Europe,Unknown
KU215423,Alphacoronavirus-Cluster_176,Alphacoronavirus,Belgium,Belgium,Europe,Unknown
KU215424,Alphacoronavirus-Cluster_176,Alphacoronavirus,Belgium,Belgium,Europe,Unknown
KU215425,Alphacoronavirus-Cluster_176,Alphacoronavirus,Belgium,Belgium,Europe,Unknown
KU215426,Alphacoronavirus-Cluster_176,Alphacoronavirus,Belgium,Belgium,Europe,Unknown
KU215428,Alphacoronavirus-Cluster_176,Alphacoronavirus,Belgium,Belgium,Europe,Unknown
GU053645,Alphacoronavirus-Cluster_176,Alphacoronavirus,Netherlands,Netherlands,Europe,Unknown
X90574,Alphacoronavirus-Cluster_176,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
X90577,Alphacoronavirus-Cluster_176,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
EU186072,Alphacoronavirus-Cluster_177,Alphacoronavirus,USA,USA,America,Unknown
AB086903,Alphacoronavirus-Cluster_177,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
AB088223,Alphacoronavirus-Cluster_177,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
DQ122858,Alphacoronavirus-Cluster_177,Alphacoronavirus,USA,USA,America,Unknown
KJ665792,Alphacoronavirus-Cluster_177,Alphacoronavirus,Germany,Germany,Europe,Unknown
KJ665865,Alphacoronavirus-Cluster_177,Alphacoronavirus,Germany,Germany,Europe,Unknown
X90570,Alphacoronavirus-Cluster_177,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
MT114540,Alphacoronavirus-Cluster_187,Alphacoronavirus,China,China,Asia,2019
MT136057,Alphacoronavirus-Cluster_187,Alphacoronavirus,China,China,Asia,Unknown
MT136068,Alphacoronavirus-Cluster_187,Alphacoronavirus,China,China,Asia,Unknown
MT136083,Alphacoronavirus-Cluster_187,Alphacoronavirus,China,China,Asia,Unknown
MW718809,Alphacoronavirus-Cluster_187,Alphacoronavirus,China,China,Asia,Unknown
OP422897,Alphacoronavirus-Cluster_187,Alphacoronavirus,China,China,Asia,Unknown
MT114541,Alphacoronavirus-Cluster_188,Alphacoronavirus,China,China,Asia,2019
MT136067,Alphacoronavirus-Cluster_188,Alphacoronavirus,China,China,Asia,Unknown
MT136080,Alphacoronavirus-Cluster_188,Alphacoronavirus,China,China,Asia,Unknown
MT136092,Alphacoronavirus-Cluster_188,Alphacoronavirus,China,China,Asia,Unknown
MT136096,Alphacoronavirus-Cluster_188,Alphacoronavirus,China,China,Asia,Unknown
MT136099,Alphacoronavirus-Cluster_188,Alphacoronavirus,China,China,Asia,Unknown
OP422888,Alphacoronavirus-Cluster_188,Alphacoronavirus,China,China,Asia,Unknown
OP422900,Alphacoronavirus-Cluster_188,Alphacoronavirus,China,China,Asia,Unknown
HW265798,Alphacoronavirus-Cluster_189,Alphacoronavirus,Unknown,Unknown,Unknown,2013
JQ304460,Alphacoronavirus-Cluster_189,Alphacoronavirus,Netherlands,Netherlands,Europe,Unknown
JQ304461,Alphacoronavirus-Cluster_189,Alphacoronavirus,Netherlands,Netherlands,Europe,Unknown
KF530122,Alphacoronavirus-Cluster_189,Alphacoronavirus,Netherlands,Netherlands,Europe,2009
AB086904,Alphacoronavirus-Cluster_191,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
JN634064,Alphacoronavirus-Cluster_191,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
AY878319,Alphacoronavirus-Cluster_191,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
AY878324,Alphacoronavirus-Cluster_191,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
DI023897,Alphacoronavirus-Cluster_191,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
EF408026,Alphacoronavirus-Cluster_191,Alphacoronavirus,Unknown,Unknown,Unknown,Unknown
KP143507,Alphacoronavirus-Cluster_192,Alphacoronavirus,UnitedKingdom,UnitedKingdom,Europe,Unknown
KP143508,Alphacoronavirus-Cluster_192,Alphacoronavirus,UnitedKingdom,UnitedKingdom,Europe,Unknown
KP143509,Alphacoronavirus-Cluster_192,Alphacoronavirus,UnitedKingdom,UnitedKingdom,Europe,Unknown
KP143510,Alphacoronavirus-Cluster_192,Alphacoronavirus,UnitedKingdom,UnitedKingdom,Europe,Unknown
KP143511,Alphacoronavirus-Cluster_192,Alphacoronavirus,UnitedKingdom,UnitedKingdom,Europe,Unknown
KP143512,Alphacoronavirus-Cluster_192,Alphacoronavirus,UnitedKingdom,UnitedKingdom,Europe,Unknown
HE598713,Alphacoronavirus-Cluster_192,Alphacoronavirus,UnitedKingdom,UnitedKingdom,Europe,Unknown
HE598725,Alphacoronavirus-Cluster_192,Alphacoronavirus,UnitedKingdom,UnitedKingdom,Europe,Unknown
HE860442,Alphacoronavirus-Cluster_192,Alphacoronavirus,UnitedKingdom,UnitedKingdom,Europe,Unknown
HE860446,Alphacoronavirus-Cluster_192,Alphacoronavirus,UnitedKingdom,UnitedKingdom,Europe,Unknown
HE598724,Alphacoronavirus-Cluster_192,Alphacoronavirus,UnitedKingdom,UnitedKingdom,Europe,Unknown
HE598723,Alphacoronavirus-Cluster_192,Alphacoronavirus,UnitedKingdom,UnitedKingdom,Europe,Unknown
HE598726,Alphacoronavirus-Cluster_192,Alphacoronavirus,UnitedKingdom,UnitedKingdom,Europe,Unknown
HE598738,Alphacoronavirus-Cluster_192,Alphacoronavirus,UnitedKingdom,UnitedKingdom,Europe,Unknown
HE860455,Alphacoronavirus-Cluster_192,Alphacoronavirus,UnitedKingdom,UnitedKingdom,Europe,Unknown
HE598741,Alphacoronavirus-Cluster_192,Alphacoronavirus,UnitedKingdom,UnitedKingdom,Europe,Unknown
HE860479,Alphacoronavirus-Cluster_192,Alphacoronavirus,UnitedKingdom,UnitedKingdom,Europe,Unknown
HE860480,Alphacoronavirus-Cluster_192,Alphacoronavirus,UnitedKingdom,UnitedKingdom,Europe,Unknown
HE860481,Alphacoronavirus-Cluster_192,Alphacoronavirus,UnitedKingdom,UnitedKingdom,Europe,Unknown
HE860482,Alphacoronavirus-Cluster_192,Alphacoronavirus,UnitedKingdom,UnitedKingdom,Europe,Unknown
HE860449,Alphacoronavirus-Cluster_192,Alphacoronavirus,UnitedKingdom,UnitedKingdom,Europe,Unknown
HE860475,Alphacoronavirus-Cluster_192,Alphacoronavirus,UnitedKingdom,UnitedKingdom,Europe,Unknown
HE860488,Alphacoronavirus-Cluster_192,Alphacoronavirus,UnitedKingdom,UnitedKingdom,Europe,Unknown
HE860489,Alphacoronavirus-Cluster_192,Alphacoronavirus,UnitedKingdom,UnitedKingdom,Europe,Unknown
HE860491,Alphacoronavirus-Cluster_192,Alphacoronavirus,UnitedKingdom,UnitedKingdom,Europe,Unknown
MT114542,Alphacoronavirus-Cluster_193,Alphacoronavirus,China,China,Asia,2019
MW718800,Alphacoronavirus-Cluster_193,Alphacoronavirus,China,China,Asia,Unknown
MW718811,Alphacoronavirus-Cluster_193,Alphacoronavirus,China,China,Asia,Unknown
OQ623693,Alphacoronavirus-Cluster_193,Alphacoronavirus,China,China,Asia,Unknown
OQ623722,Alphacoronavirus-Cluster_193,Alphacoronavirus,China,China,Asia,Unknown
MT114544,Alphacoronavirus-Cluster_195,Alphacoronavirus,China,China,Asia,2018
OP422917,Alphacoronavirus-Cluster_195,Alphacoronavirus,China,China,Asia,Unknown
OP422918,Alphacoronavirus-Cluster_195,Alphacoronavirus,China,China,Asia,Unknown
OP422920,Alphacoronavirus-Cluster_195,Alphacoronavirus,China,China,Asia,Unknown
OQ407504,Alphacoronavirus-Cluster_195,Alphacoronavirus,China,China,Asia,Unknown
OQ623706,Alphacoronavirus-Cluster_195,Alphacoronavirus,China,China,Asia,Unknown
OQ623720,Alphacoronavirus-Cluster_195,Alphacoronavirus,China,China,Asia,Unknown
MZ081392,Alphacoronavirus-Cluster_197,Alphacoronavirus,Yunnan,China,Asia,2020
MZ081393,Alphacoronavirus-Cluster_197,Alphacoronavirus,Yunnan,China,Asia,2020
MZ081394,Alphacoronavirus-Cluster_197,Alphacoronavirus,Yunnan,China,Asia,2020
MZ081395,Alphacoronavirus-Cluster_197,Alphacoronavirus,Yunnan,China,Asia,2020
AY337931,Alphacoronavirus-Cluster_199,Alphacoronavirus,China,China,Asia,Unknown
DQ437506,Alphacoronavirus-Cluster_199,Alphacoronavirus,China,China,Asia,Unknown
DQ437507,Alphacoronavirus-Cluster_199,Alphacoronavirus,China,China,Asia,Unknown
